cardinality,precision,description,granularity,probability
2,COARSE,silence,1|1,0.4395159905
2,COARSE,bigger,1|1,0.3488785017
2,COARSE,biggest,1|1,0.2116055078
3,COARSE,silence,1|1|1,0.2822750154
3,COARSE,bigger,2|1,0.2087716759
3,COARSE,biggest,1|1|1,0.2021951366
3,COARSE,silence,2|1,0.1767771268
3,COARSE,biggest,2|1,0.1266264223
3,COARSE,silence,1|2,0.001954560582
3,COARSE,biggest,1|2,0.00140006243
4,COARSE,silence,1|1|1|1,0.2135921801
4,COARSE,biggest,1|1|1|1,0.2031602778
4,COARSE,bigger,3|1,0.1816497192
4,COARSE,silence,3|1,0.115833463
4,COARSE,biggest,3|1,0.110176124
4,COARSE,silence,1|2|1,0.04321763281
4,COARSE,biggest,1|2|1,0.04110687143
4,COARSE,silence,2|1|1,0.04062462895
4,COARSE,biggest,2|1|1,0.03864051062
4,COARSE,silence,2|2,0.004371235403
4,COARSE,biggest,2|2,0.004157743033
4,COARSE,silence,1|3,0.001778231547
4,COARSE,biggest,1|3,0.001691382217
2,PROGRESSIVE,silence,1|1,0.4395159905
2,PROGRESSIVE,bigger,1|1,0.3488785017
2,PROGRESSIVE,biggest,1|1,0.2116055078
3,PROGRESSIVE,silence,1|1|1,0.3352979316
3,PROGRESSIVE,biggest,1|1|1,0.2401757414
3,PROGRESSIVE,bigger,2|1,0.1086701562
3,PROGRESSIVE,silence,1|2,0.09201630391
3,PROGRESSIVE,silence,2|1,0.09201630391
3,PROGRESSIVE,biggest,1|2,0.06591178151
3,PROGRESSIVE,biggest,2|1,0.06591178151
4,PROGRESSIVE,silence,1|1|1|1,0.2611115852
4,PROGRESSIVE,biggest,1|1|1|1,0.2483588218
4,PROGRESSIVE,silence,2|2,0.07126229067
4,PROGRESSIVE,biggest,2|2,0.0677818203
4,PROGRESSIVE,silence,1|2|1,0.06405174223
4,PROGRESSIVE,biggest,1|2|1,0.06092343708
4,PROGRESSIVE,bigger,3|1,0.04260594663
4,PROGRESSIVE,silence,1|3,0.02716874193
4,PROGRESSIVE,silence,3|1,0.02716874193
4,PROGRESSIVE,biggest,1|3,0.02584181292
4,PROGRESSIVE,biggest,3|1,0.02584181292
4,PROGRESSIVE,silence,1|1|2,0.0199581935
4,PROGRESSIVE,silence,2|1|1,0.0199581935
4,PROGRESSIVE,biggest,1|1|2,0.0189834297
4,PROGRESSIVE,biggest,2|1|1,0.0189834297